geoid,aland,awater,income,population,kmdensity,centx,centy
420710005003,101831,0,28089,767,7532.089844,-76.31479532,40.04272143
420710005004,488542,0,10682,1576,3225.929932,-76.32114773,40.04539768
420710006001,129582,0,42203,574,4429.629883,-76.31313658,40.04042066
420710006002,95086,0,27853,543,5710.620117,-76.31384676,40.03794592
420710006003,124931,0,26599,1151,9213.089844,-76.31748379,40.04027733
420710006004,158308,0,31326,750,4737.600098,-76.32212828,40.03927261
420710007003,199318,0,13074,2640,13245.2002,-76.29461362,40.03998107
420710008002,276973,0,12892,1105,3989.560059,-76.29062035,40.03317318
420710008003,330036,63659,14591,1410,4272.259766,-76.28786104,40.0285439
420710008004,75769,0,11040,838,11059.90039,-76.29369379,40.03719758
420710009003,77289,0,7676,755,9768.530273,-76.30076612,40.03508813
420430252001,23928061,0,28076,1454,60.76549911,-76.78032238,40.56534362
420159504001,674349,0,31580,971,1439.910034,-76.52355305,41.97007892
420159509002,34016604,1064161,27742,1027,30.19109917,-76.40676182,41.79296287
420159507004,60740127,306825,29488,856,14.09280014,-76.75417917,41.76438307
420159503004,301483,21349,18274,971,3220.75,-76.52026173,41.98482803
420159504002,899768,70450,19162,1121,1245.880005,-76.52630973,41.96382443
420159507002,79971519,391912,28018,1001,12.5170002,-76.84306529,41.75135575
420159506001,50137872,361381,26251,1004,20.02479935,-76.68416575,41.93098721
420159503002,1043514,0,43925,1395,1336.829956,-76.5299893,41.98301889
420159505005,47260520,1269630,29553,844,17.85849953,-76.58728602,41.97045643
420159508002,67233371,237322,26916,918,13.65390015,-76.59146301,41.86055307
420930503003,469599,2238,23671,1025,2182.709961,-76.6085684,40.95219413
420750031002,6953517,0,27358,1084,155.8919983,-76.29385136,40.29684834
420750027022,12389408,0,27369,2188,176.602005,-76.3722991,40.37112439
421330203204,9637586,25870,32026,736,76.36769867,-76.94337135,40.03589235
420333317003,21868970,175544,9157,3272,149.6179962,-78.3494767,40.81123754
420333319001,118315686,717106,19761,1323,11.18190002,-78.75298612,40.783078
420333301001,29722248,134259,26242,977,32.87099838,-78.76773152,41.1546713
420333302003,729141,0,28389,822,1127.349976,-78.77733131,41.11957769
420333315002,113386751,874618,19391,840,7.408269882,-78.63546062,40.89322025
420333306002,24652704,866197,22797,2191,88.87460327,-78.40902645,41.02988471
420333309001,76764682,359723,24373,1328,17.2996006,-78.32037737,40.88212233
420333304002,25594268,228286,17369,1018,39.7745018,-78.67226326,41.17621698
421330237103,21725101,0,28512,1352,62.23220062,-76.63249947,39.81200945
421330234003,9376351,0,20788,915,97.58589935,-76.63037719,40.01121354
421330205101,21722764,12492,31957,1432,65.92160034,-76.92859739,39.94024738
421330208004,23699113,187819,41948,915,38.60900116,-76.81352889,40.07584316
